date,ced_code_2013,ced_name_2013,Commonwealth electoral division state,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Double Orphan Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice)
2016-03,101,Banks,NSW,11,25,16611,177,4112,121,1880,2451,3758,5,9542,7718,7913,2064,3689,634,1008,35,25565,28,208,249,0,33,27,254,1477
2016-03,102,Barton,NSW,12,19,17854,208,4432,105,1811,2234,3595,5,8547,6949,7002,1723,3343,698,889,34,25979,28,81,182,0,44,24,201,1209
2016-03,103,Bennelong,NSW,32,13,14117,272,2624,85,995,3087,3134,5,6972,5523,6290,2070,2434,367,439,11,20085,26,143,172,0,15,12,145,1686
2016-03,104,Berowra,NSW,14,8,11200,156,1773,87,417,3414,1706,0,4555,3358,3734,1177,1266,160,314,5,14379,13,59,80,0,10,0,93,814
2016-03,105,Blaxland,NSW,25,35,16882,365,8374,389,5736,917,7482,9,17967,15748,16251,3538,8024,2855,2552,61,37316,39,163,273,0,135,70,602,2847
2016-03,106,Bradfield,NSW,9,27,9629,169,1584,76,326,5002,1480,0,4243,3356,3829,1136,1233,198,278,5,12353,12,61,79,0,5,0,52,926
2016-03,107,Calare,NSW,92,380,19412,183,4295,180,1799,2039,7161,5,10904,8918,9512,1989,5243,665,2630,35,33585,53,16,94,0,37,45,1084,1267
2016-03,108,Charlton,NSW,78,176,20135,199,4930,137,2026,1506,6313,5,9549,7901,8283,1772,4475,458,1933,42,32740,43,8,116,0,53,58,827,975
2016-03,109,Chifley,NSW,70,363,15238,307,6999,427,3972,509,7157,12,18342,15600,14246,2651,7648,1266,3776,34,34325,51,119,236,0,76,60,1158,1797
2016-03,110,Cook,NSW,14,43,15507,156,2410,114,660,3394,2445,5,5448,4310,4034,990,1907,143,698,10,20406,31,28,74,0,7,5,133,689
2016-03,111,Cowper,NSW,109,453,23789,223,5952,110,3096,1806,9186,17,12492,10174,10977,1948,7389,886,2641,52,43262,78,7,147,0,81,98,1305,713
2016-03,112,Cunningham,NSW,80,78,18670,323,4199,118,1647,2178,5814,12,7627,6255,8367,2919,4311,457,1285,33,29479,55,13,102,0,33,25,570,2711
2016-03,113,Dobell,NSW,56,151,20513,214,4876,169,2069,1625,6392,7,11464,9399,9273,1694,5423,553,2311,21,34180,71,20,133,0,47,42,849,913
2016-03,114,Eden-Monaro,NSW,46,189,20269,137,3630,84,1497,2281,6548,5,9032,7135,7347,1283,4342,575,1665,31,32305,55,12,116,0,47,48,692,431
2016-03,115,Farrer,NSW,79,302,21020,133,4456,120,1844,2016,6487,7,10374,8348,9452,1874,5751,556,2226,37,34374,63,0,106,0,47,72,933,841
2016-03,116,Fowler,NSW,15,108,15370,240,9004,313,6302,393,7280,6,16632,14608,14254,3860,8668,1602,2732,76,37278,49,136,345,0,69,53,673,3025
2016-03,117,Gilmore,NSW,71,262,24762,188,5419,122,2505,2355,6915,5,10133,8161,8646,1631,5320,603,1896,42,38817,47,9,123,0,38,62,752,666
2016-03,118,Grayndler,NSW,56,64,13917,495,2992,54,1214,1412,4099,0,5453,4541,6555,2078,4235,256,714,23,21922,39,48,124,0,43,14,262,1763
2016-03,119,Greenway,NSW,32,64,12946,200,3787,204,1624,950,3905,0,11618,9250,8346,1836,3927,726,1394,22,22163,35,131,162,0,44,28,411,1165
2016-03,120,Hughes,NSW,13,38,14068,160,4022,202,1768,1639,3216,5,8157,6623,6368,1503,2951,485,1050,6,21710,39,41,130,0,21,13,224,1092
2016-03,121,Hume,NSW,41,137,19109,144,4308,150,1753,2210,5592,8,9779,7697,7434,1222,3973,561,1823,21,30498,61,0,112,0,45,47,600,535
2016-03,122,Hunter,NSW,63,226,16309,125,4911,174,2325,1139,7293,5,11086,9586,9763,1350,6198,692,3010,40,32022,46,8,136,0,58,80,1205,536
2016-03,123,Kingsford Smith,NSW,115,100,14868,251,3103,84,1185,2475,4243,0,6135,5050,5861,1676,3150,257,803,16,22569,38,41,129,0,20,11,263,1600
2016-03,124,Lindsay,NSW,58,181,14413,226,4995,403,2094,868,5546,11,13026,10937,9736,1736,5097,638,2838,17,27609,61,23,128,0,49,34,813,1002
2016-03,125,Lyne,NSW,66,309,27179,177,5882,98,2778,2222,7922,6,10684,8565,9669,1612,6257,739,2078,49,43461,56,11,143,0,43,78,1019,599
2016-03,126,Macarthur,NSW,41,152,13802,188,5765,340,2369,1020,4754,5,12321,10290,9073,1559,4160,619,2474,19,25788,47,27,158,0,43,31,650,1086
2016-03,127,Mackellar,NSW,7,6,14197,133,1868,82,430,4177,1878,0,5160,3913,3440,770,1565,133,562,5,17919,25,12,62,0,5,7,99,550
2016-03,128,Macquarie,NSW,37,83,15891,229,3376,182,1220,1902,4292,5,8592,6938,6889,1613,3614,373,1461,17,24902,60,5,119,0,12,32,430,881
2016-03,129,McMahon,NSW,15,42,16101,231,8357,238,5645,932,5373,6,12367,10597,10591,2663,6204,1326,1628,54,32421,38,100,246,0,64,47,551,1931
2016-03,130,Mitchell,NSW,8,9,12519,204,2305,93,612,2823,1670,0,6050,4621,4735,1369,1469,261,457,7,16046,21,65,121,0,5,7,94,883
2016-03,131,New England,NSW,188,729,20563,168,4525,150,2158,2111,7388,5,12194,9835,11821,2277,6559,826,2920,49,36006,59,5,91,0,58,70,1332,1598
2016-03,132,Newcastle,NSW,148,123,16116,469,3534,96,1463,1470,7388,0,7369,6189,9670,3159,5561,407,1534,27,28868,43,13,102,0,41,24,887,2826
2016-03,133,North Sydney,NSW,13,40,8833,179,1344,46,342,3721,1744,5,3426,2834,3274,972,1386,122,276,5,11836,15,69,86,0,7,0,71,824
2016-03,134,Page,NSW,120,406,23097,313,5462,173,2698,2108,9336,8,11923,9615,11181,2075,7273,815,2492,49,41723,62,5,146,0,50,96,1297,921
2016-03,135,Parkes,NSW,218,1131,19009,63,4635,135,2341,1918,7425,14,12496,10421,11265,1284,7087,683,3533,31,35118,52,5,118,0,49,54,1359,351
2016-03,136,Parramatta,NSW,17,36,13904,411,4399,133,2502,1473,5571,8,13561,11195,11496,2638,5625,1296,1351,24,26184,34,215,236,0,71,38,405,1867
2016-03,137,Paterson,NSW,48,206,23449,146,5415,121,2483,2256,6845,5,9698,8047,8462,1415,5135,554,1999,36,37386,70,14,137,0,42,69,854,564
2016-03,138,Reid,NSW,20,21,13659,370,3823,92,1846,2287,3355,8,9720,8048,9114,2392,3935,1100,838,30,21705,29,185,193,0,66,17,244,1743
2016-03,139,Richmond,NSW,92,184,21679,488,4397,81,1972,2119,7725,7,11620,9365,10694,2067,7331,819,1949,33,37188,96,10,199,0,44,55,783,754
2016-03,140,Riverina,NSW,89,303,17716,149,4279,166,1776,2235,5840,5,11162,8811,8858,1709,4585,586,2275,15,29848,45,18,62,0,42,39,917,1303
2016-03,141,Robertson,NSW,74,85,21775,240,3884,100,1416,2204,5420,0,8977,7358,7548,1604,4490,404,1545,13,32445,46,16,131,0,24,34,598,860
2016-03,142,Shortland,NSW,51,162,22409,150,5073,136,2159,1588,6360,5,8799,7353,7556,1456,4617,417,1835,36,35267,44,5,113,0,46,56,798,712
2016-03,143,Sydney,NSW,128,95,9150,532,1764,32,885,1488,5519,0,3729,3202,6056,2045,4414,184,623,10,18085,26,77,125,0,14,5,250,1963
2016-03,144,Throsby,NSW,57,176,22201,162,5594,145,2418,1734,7135,5,10343,8545,8249,1620,4920,658,2168,41,36658,49,9,139,0,51,43,812,839
2016-03,145,Warringah,NSW,5,12,9319,151,1271,45,279,3904,1648,5,3487,2812,2767,737,1306,83,349,0,12279,18,14,55,0,5,0,65,587
2016-03,146,Watson,NSW,17,26,17195,369,6392,214,3707,1426,5465,5,14753,12490,13298,3091,5992,2065,1473,64,31476,48,183,282,0,133,56,385,2374
2016-03,147,Wentworth,NSW,17,45,8312,270,1387,30,407,2838,2555,0,2862,2364,3578,917,2337,112,353,5,12465,19,17,56,0,5,0,89,811
2016-03,148,Werriwa,NSW,34,110,12525,225,6788,273,3859,647,5607,10,15301,12835,11661,2401,5599,1314,2486,27,27749,56,100,190,0,60,40,656,1686
2016-03,201,Aston,VIC,8,10,14836,184,3292,115,1032,1397,3482,6,8383,6659,8689,3661,3220,393,970,29,22080,54,42,112,0,22,14,363,1286
2016-03,202,Ballarat,VIC,27,52,18782,340,4910,174,2193,1603,7225,7,11636,9402,13036,5094,5898,660,2140,38,33308,61,8,165,0,47,41,1089,2155
2016-03,203,Batman,VIC,49,33,17796,757,5016,98,1813,1372,6058,7,7582,6341,11859,5124,5732,519,1025,30,28975,38,35,95,0,74,28,451,2604
2016-03,204,Bendigo,VIC,31,48,19463,252,4454,136,1982,1918,7013,6,11289,9094,11775,4399,5506,676,2058,30,33519,79,5,142,0,42,46,858,1809
2016-03,205,Bruce,VIC,6,13,19022,285,4395,96,1940,2578,5362,15,10462,8583,12181,4549,5328,848,1084,52,30217,55,166,194,0,46,22,502,2026
2016-03,206,Calwell,VIC,12,23,15824,267,8755,263,5128,795,7303,11,14406,12285,16415,4999,7916,1721,1816,45,33611,73,49,158,0,108,61,887,2508
2016-03,207,Casey,VIC,11,19,16017,185,3408,117,1073,1494,4653,5,10178,8071,8865,3451,3580,447,1356,25,25327,59,8,131,0,24,23,440,953
2016-03,208,Chisholm,VIC,21,6,17104,296,3172,66,896,3150,3685,0,6545,5220,9076,4578,2964,337,527,26,23776,15,81,124,0,25,12,259,2477
2016-03,209,Corangamite,VIC,30,31,18171,262,3463,154,1234,2636,4230,10,9251,7082,9840,4303,3741,411,1181,23,26819,48,5,101,0,17,34,451,1743
2016-03,210,Corio,VIC,25,43,20880,289,5453,194,2384,1495,7351,20,10957,9171,12547,4240,6614,629,2225,49,36288,81,7,179,0,40,31,1001,1535
2016-03,211,Deakin,VIC,5,11,17424,240,2897,78,814,2811,4093,12,7784,6187,8720,3454,3333,541,755,11,24807,39,51,106,0,14,7,317,1232
2016-03,212,Dunkley,VIC,7,20,19198,224,3758,119,1431,2081,5773,8,10176,8419,9555,3245,5102,442,1869,19,31202,73,10,119,0,18,17,645,1071
2016-03,213,Flinders,VIC,13,24,23962,175,4262,117,1613,3063,5468,6,10583,8443,9379,3165,4658,503,1752,34,35510,87,5,131,0,23,29,491,708
2016-03,214,Gellibrand,VIC,27,14,17059,538,4706,115,1951,1230,5147,7,9137,7813,12863,4550,6997,791,1367,42,28698,60,74,185,0,61,37,572,2095
2016-03,215,Gippsland,VIC,30,104,22051,137,5119,173,2237,2019,7561,5,10550,8657,11821,3598,6554,672,2213,40,37377,59,7,144,0,31,63,998,757
2016-03,216,Goldstein,VIC,5,5,12456,207,2300,47,536,3833,2624,0,3849,3066,4965,2135,1934,125,374,5,16903,32,28,75,0,8,11,121,983
2016-03,217,Gorton,VIC,19,25,13178,313,7312,319,3395,487,6214,17,18380,15255,17199,5092,7718,1343,3079,56,29868,91,55,272,0,75,91,855,2139
2016-03,218,Higgins,VIC,10,5,9937,328,2096,51,533,2959,2718,0,3250,2652,5561,2665,2348,118,369,9,14570,29,38,81,0,15,6,165,1635
2016-03,219,Holt,VIC,15,27,14531,301,6074,172,2905,629,6795,25,20145,16376,17410,5318,7051,1592,2549,31,30535,92,100,197,0,36,27,953,2249
2016-03,220,Hotham,VIC,9,6,18474,217,4169,123,1647,1682,4483,7,8871,7182,9815,4119,3913,512,882,39,27653,40,79,152,0,46,26,274,1764
2016-03,221,Indi,VIC,18,44,20169,123,4095,138,1678,2227,5613,5,10409,8115,9020,2607,4623,508,1768,43,31883,59,5,152,0,37,46,665,650
2016-03,222,Isaacs,VIC,5,5,16236,207,3792,122,1487,1501,4721,8,10516,8581,10344,3747,4525,618,1407,24,26249,46,62,142,0,23,16,453,1502
2016-03,223,Jagajaga,VIC,19,15,13767,264,3092,109,926,2766,3566,7,6179,5032,7796,3527,2876,289,751,13,20444,43,29,102,0,20,11,297,1333
2016-03,224,Kooyong,VIC,12,7,9043,299,1783,55,318,4091,1882,0,3070,2419,5459,2957,1509,100,209,5,12075,16,32,48,0,5,5,98,1857
2016-03,225,La Trobe,VIC,7,11,12587,197,3381,125,1069,1293,3435,5,10525,8211,9398,3633,3349,499,1167,12,20110,50,24,104,0,11,13,409,1240
2016-03,226,Lalor,VIC,24,48,12706,363,5875,217,2444,864,5052,31,21076,17597,18911,5236,7499,1739,2871,27,26489,78,55,179,0,38,40,900,1978
2016-03,227,Mallee,VIC,37,169,20921,107,4908,130,2155,2192,7577,6,11195,8708,11352,2987,5632,764,1957,32,35512,65,8,135,0,55,50,910,600
2016-03,228,Maribyrnong,VIC,11,11,19289,406,5789,149,2370,1698,4947,9,9781,8424,13290,4933,6707,793,1451,43,31142,40,65,187,0,74,38,537,2322
2016-03,229,McEwen,VIC,27,34,15070,231,5911,266,2370,1396,5225,10,17641,14337,14212,4318,5606,993,2667,32,28148,66,28,144,0,34,40,736,1480
2016-03,230,McMillan,VIC,12,38,21884,203,4910,155,1915,2351,6651,5,13770,11138,12105,3914,5886,826,2543,31,36374,59,6,141,0,44,42,788,937
2016-03,231,Melbourne,VIC,84,9,8979,975,2254,45,1066,1501,5243,11,5455,4864,12126,5901,6295,528,1133,8,18713,37,78,129,0,13,8,415,3952
2016-03,232,Melbourne Ports,VIC,20,11,8431,440,1799,33,550,2411,4057,5,3619,3091,6517,2589,3640,249,474,12,14875,24,31,80,0,10,8,213,1481
2016-03,233,Menzies,VIC,6,5,15843,172,3101,73,828,4092,2262,5,5675,4385,7016,3327,2121,244,416,15,20462,15,50,96,0,18,7,160,1228
2016-03,234,Murray,VIC,50,140,22145,123,5178,151,2338,2154,7313,12,11825,9280,10754,3025,5485,726,2221,25,37100,64,13,119,0,52,72,813,706
2016-03,235,Scullin,VIC,15,42,17075,266,6844,155,2849,1109,6022,8,12408,10110,13048,4817,5486,999,1498,53,30247,75,59,124,0,95,46,660,2107
2016-03,236,Wannon,VIC,27,77,20185,141,4211,140,1888,2146,6509,5,9875,7564,10391,3825,5087,631,1588,44,33318,59,0,183,0,44,55,829,694
2016-03,237,Wills,VIC,28,14,18461,754,5603,130,2176,1310,5458,5,8363,6957,12249,5106,5645,677,941,28,29297,49,32,112,0,81,46,520,2619
2016-03,301,Blair,QLD,91,270,14844,312,5222,174,2301,905,8099,12,14755,12651,12115,2277,6497,1018,3504,26,32067,84,16,96,0,47,79,1467,1029
2016-03,302,Bonner,QLD,50,73,14725,256,2849,66,918,2017,3494,8,7678,6220,7303,2125,3436,340,1123,9,21877,57,26,88,0,29,17,515,1362
2016-03,303,Bowman,QLD,38,70,17617,196,3820,107,1393,1901,4346,6,9079,7301,7437,1723,3967,371,1602,32,27087,47,13,107,0,33,48,574,739
2016-03,304,Brisbane,QLD,88,46,7806,503,1290,30,356,1822,4152,0,3678,3089,6664,2543,3923,174,576,6,14278,51,9,56,0,5,5,426,2415
2016-03,305,Capricornia,QLD,90,332,14416,150,3382,110,1367,1432,4672,5,8950,7618,9318,1393,5876,617,2227,25,24972,61,7,116,0,26,46,1023,478
2016-03,306,Dawson,QLD,66,338,14233,109,3393,94,1361,1805,4369,5,9522,8037,10085,1417,6676,588,2315,23,24742,72,12,117,0,35,43,1074,559
2016-03,307,Dickson,QLD,47,78,12246,203,3301,114,1064,1404,3208,5,9368,7466,7531,1748,3427,449,1452,19,19799,49,5,102,0,18,26,650,819
2016-03,308,Fadden,QLD,64,89,18177,392,4370,82,1844,1886,4507,6,13051,10648,11002,2437,5700,789,2387,23,29701,76,17,161,0,25,18,860,1501
2016-03,309,Fairfax,QLD,46,60,19681,456,3834,83,1507,2410,5221,5,10995,8778,9821,2416,5422,647,1737,28,30878,62,10,160,0,20,36,810,1170
2016-03,310,Fisher,QLD,46,60,20378,370,4061,93,1512,2515,4637,10,9769,7871,9185,2310,4883,563,1597,26,30643,61,7,155,0,25,35,796,1225
2016-03,311,Flynn,QLD,56,396,13472,96,4033,117,1758,1460,5048,5,9770,8404,10636,1309,6778,771,2323,38,25232,51,5,97,0,47,73,1116,308
2016-03,312,Forde,QLD,56,125,15332,273,4794,165,2051,740,5986,8,15112,12480,11846,2058,5961,885,3075,27,29269,96,28,128,0,30,42,1182,1074
2016-03,313,Griffith,QLD,87,52,9418,534,1725,52,569,1527,3839,0,5226,4397,7290,2589,4014,244,852,5,16185,45,38,69,0,11,8,466,2284
2016-03,314,Groom,QLD,96,274,17121,279,3688,104,1418,1907,5772,6,10900,8847,9274,2072,4619,719,2256,17,28833,57,17,92,0,35,48,1059,960
2016-03,315,Herbert,QLD,291,721,12470,350,3878,106,1693,1068,5192,6,12359,10711,12916,2412,7729,821,3339,18,25465,55,12,93,0,25,29,1447,1567
2016-03,316,Hinkler,QLD,37,310,27080,273,7332,139,3583,1639,8328,9,11762,9904,12732,2413,8197,952,2694,74,45747,76,6,210,0,89,97,1565,697
2016-03,317,Kennedy,QLD,212,1249,17979,113,3849,89,1894,2123,5985,7,12757,10679,12998,1215,8922,1070,3240,27,32245,65,7,104,0,46,68,1413,272
2016-03,318,Leichhardt,QLD,423,1715,13924,352,3430,104,1649,1360,6051,5,15425,13083,16491,1899,10366,1329,3807,15,28695,75,20,118,0,27,17,1585,765
2016-03,319,Lilley,QLD,65,89,15732,318,2831,65,924,1917,4439,5,7872,6540,7896,2020,4282,423,1230,12,24270,61,19,111,0,12,15,665,1228
2016-03,320,Longman,QLD,57,156,19994,273,5989,132,2589,1312,6901,13,14119,11815,12182,2447,6807,1007,3135,50,36386,72,10,173,0,61,71,1324,967
2016-03,321,Maranoa,QLD,57,389,19504,123,4969,97,2316,2268,7388,6,12151,9723,10579,1588,5564,868,2479,31,34449,52,7,124,0,71,79,1137,356
2016-03,322,McPherson,QLD,52,47,18129,403,3601,98,1399,1951,4219,7,10694,8510,9089,2173,5055,487,1637,17,27935,64,13,164,0,27,22,688,1362
2016-03,323,Moncrieff,QLD,59,63,18527,550,3567,87,1571,2228,5144,7,10120,8331,10880,2611,6753,587,1811,24,30043,80,20,162,0,21,24,834,1909
2016-03,324,Moreton,QLD,73,80,11937,452,2544,79,1006,2111,3794,9,8619,7061,9846,3170,4541,654,1060,18,19554,47,47,111,0,18,10,637,2462
2016-03,325,Oxley,QLD,81,173,11417,277,3847,163,1745,912,5201,20,14278,11980,12038,2442,5950,1077,2549,20,23743,66,38,142,0,29,32,1102,1513
2016-03,326,Petrie,QLD,55,134,19037,282,4370,109,1678,1572,5912,8,12474,10369,10071,1963,5599,720,2380,28,31872,69,24,105,0,34,40,1009,919
2016-03,327,Rankin,QLD,77,200,13249,355,4404,148,2133,766,6520,17,18213,15199,15526,2894,7698,1489,3380,27,28613,67,55,140,0,52,68,1442,1596
2016-03,328,Ryan,QLD,68,53,9519,431,1924,65,431,3155,2037,0,4870,3986,6411,2927,2378,222,550,9,13533,31,5,52,0,9,5,329,2892
2016-03,329,Wide Bay,QLD,45,243,23061,274,5926,98,3082,2305,9083,5,11674,9654,11575,2137,7413,899,2281,52,41343,69,10,206,0,71,96,1313,602
2016-03,330,Wright,QLD,42,123,15329,215,4618,118,1963,1530,5319,7,11688,9280,9658,2015,4962,651,2046,31,27162,67,9,93,0,34,67,877,936
2016-03,401,Adelaide,SA,83,47,14519,537,2945,89,1105,2065,6019,14,7265,6014,10223,3404,5789,508,951,18,24878,53,55,94,0,31,15,554,2658
2016-03,402,Barker,SA,42,100,21820,150,4282,148,1897,2128,6929,12,11773,9149,10369,1888,6585,826,1945,38,35901,48,9,127,0,55,69,821,648
2016-03,403,Boothby,SA,48,36,18505,421,2848,106,843,2577,4111,5,6778,5370,7811,2803,3895,347,812,30,26056,43,9,84,0,29,26,408,1914
2016-03,404,Grey,SA,109,314,21852,90,4990,134,2369,1567,8057,8,10614,8824,11636,1598,8412,927,2305,71,38289,65,5,121,0,48,84,1325,425
2016-03,405,Hindmarsh,SA,41,43,21529,388,3751,109,1312,2265,5551,8,7383,5921,8795,2691,4961,403,977,30,31519,52,18,81,0,52,25,507,1840
2016-03,406,Kingston,SA,55,67,18665,355,4916,197,2093,710,6905,7,13338,10868,12044,2722,7096,878,2441,50,33680,63,18,121,0,50,56,1061,1356
2016-03,407,Makin,SA,38,43,19424,261,4117,195,1501,943,4911,10,11064,8833,10057,2497,5316,673,1598,46,30004,54,17,118,0,50,40,743,1513
2016-03,408,Mayo,SA,23,33,20946,233,3259,132,1143,2494,4263,5,8510,6501,7409,1894,4017,459,1008,42,29543,34,0,122,0,40,45,463,770
2016-03,409,Port Adelaide,SA,99,130,19110,371,6138,262,2930,575,9179,20,14479,12157,15122,3420,9688,1217,2653,51,38475,72,44,161,0,93,74,1183,2115
2016-03,410,Sturt,SA,36,36,20287,361,3278,117,996,2825,4471,6,7888,6259,7964,2444,3801,449,844,24,28336,42,24,95,0,36,27,413,1554
2016-03,411,Wakefield,SA,60,133,18581,348,6758,364,3050,953,9380,37,16760,14178,16359,3000,10026,1415,3880,46,39674,87,28,136,0,58,84,1631,1643
2016-03,501,Brand,WA,41,121,17572,222,3853,157,1384,1138,4542,8,13295,11671,11194,1953,6538,643,3033,37,29081,54,9,124,0,55,56,989,725
2016-03,502,Canning,WA,48,124,20320,219,3778,151,1438,1885,5047,12,12254,10719,11322,2061,6996,711,2839,46,32433,60,13,137,0,45,57,1076,713
2016-03,503,Cowan,WA,20,92,13223,185,2813,149,988,1086,3189,18,9446,7813,8731,2186,4343,607,1455,27,20524,45,25,102,0,37,39,534,1039
2016-03,504,Curtin,WA,88,37,9512,316,1237,36,280,3738,2150,0,2741,2328,4075,1627,1832,100,389,0,12908,15,10,42,0,7,0,143,1363
2016-03,505,Durack,WA,168,1354,10287,69,2580,70,1247,1067,5677,8,11258,10042,13349,876,8902,1164,3279,11,22665,44,10,74,0,26,32,1400,176
2016-03,506,Forrest,WA,39,183,17290,143,2981,83,1181,2286,4341,10,10318,8762,8962,1788,5577,563,2282,29,27574,64,6,121,0,37,32,753,384
2016-03,507,Fremantle,WA,30,131,14577,346,2754,97,902,1758,4148,5,7509,6466,8063,2047,4828,333,1439,25,22938,45,16,100,0,42,41,507,1082
2016-03,508,Hasluck,WA,66,212,16678,212,3147,128,1208,1324,4137,10,11285,9677,10676,2101,5938,675,2162,30,26260,51,25,127,0,43,52,829,931
2016-03,509,Moore,WA,21,27,11036,186,2076,105,534,1897,2204,10,6956,5812,6346,1708,2994,245,1171,18,16089,40,6,61,0,16,23,355,931
2016-03,510,O'Connor,WA,56,378,15463,91,2844,93,1218,2377,5232,5,10203,8575,9466,1219,6135,764,2150,26,26284,51,14,119,0,32,56,763,307
2016-03,511,Pearce,WA,46,199,15551,175,3338,159,1159,1882,3738,15,12823,10814,10197,1793,5416,665,2513,26,24994,65,20,113,0,29,46,752,664
2016-03,512,Perth,WA,55,94,14816,320,2223,58,829,1444,4001,5,7032,6004,8776,2252,5217,397,1199,23,22470,53,36,112,0,46,22,495,1238
2016-03,513,Stirling,WA,24,107,15616,291,2601,81,957,2143,4244,18,7622,6510,8570,2108,4850,616,1366,32,23836,40,42,108,0,34,31,467,1074
2016-03,514,Swan,WA,77,155,14862,359,2252,69,913,1628,4159,10,7949,6842,9687,2633,5378,541,1402,29,23041,45,49,123,0,18,22,640,1831
2016-03,515,Tangney,WA,16,12,12568,182,1831,64,452,2977,1382,7,5419,4375,5540,1953,2061,197,558,12,15656,16,29,79,0,8,12,174,1193
2016-03,601,Bass,TAS,63,88,13708,257,3135,68,1645,950,4838,14,8134,6706,8755,2460,4837,701,1547,32,24248,32,5,114,0,35,41,978,1212
2016-03,602,Braddon,TAS,56,155,15082,123,3867,74,2165,807,6263,8,8329,6858,7353,1683,4599,602,1616,57,27869,41,8,121,0,52,73,741,432
2016-03,603,Denison,TAS,55,75,11755,313,2476,68,1106,1392,5233,8,6727,5534,7796,2544,4074,484,1218,25,21167,43,13,83,0,22,27,782,1519
2016-03,604,Franklin,TAS,24,83,14170,169,2887,69,1265,1459,4645,7,7646,6088,6484,1824,3250,452,1308,37,23241,39,5,79,0,40,41,548,606
2016-03,605,Lyons,TAS,28,105,15632,116,4259,78,2379,976,6887,7,9191,7349,8105,1780,4973,679,1741,79,29512,47,5,118,0,54,81,726,400
